128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1        0.0000000   3  58
  1     1413.0272042   6  74
  1     1413.0272560   5  83
  1     1413.0273430   9  79
  1     1413.0273845  10  77
  1     1413.0701677  10  41
* Gp# 1[8,7,1,3,2,4,6,5] x =   0.4823, y =   -23.91 dT[   104,   131,   189,   192,   376,   380,   432] Src Amplitude = 85.0
*       1413.0268245   8  85
*       1413.0269280   7  83
*       1413.0269552   1  87
*       1413.0270135   3  85
*       1413.0270162   2  79
*       1413.0272000   4  80
*       1413.0272042   6  74
*       1413.0272560   5  83
  1     1413.0756445   1  40
  1     1416.2299323   8  81
  1     1416.2300355   7  76
  1     1416.2300632   1  81
  1     1416.2301212   3  83
  1     1416.2301275   2  78
  1     1416.2303083   4  74
  1     1416.2303123   6  71
  1     1416.2303640   5  79
  1     1416.2304517   9  80
  1     1416.2304958  10  76
  1     1416.2682760   7  42
  1     1416.2695305   2  40
  1     1416.2738815   4  40
  1     1416.2739850   9  41
  1     1416.2744940   3  40
  1     1416.2752290   1  41
  1     1419.6316315   8  85
  1     1419.6317345   7  81
  1     1419.6317622   1  84
  1     1419.6318200   3  84
  1     1419.6318262   2  80
  1     1419.6320075   4  77
  1     1419.6320110   6  74
  1     1419.6320655   5  80
  1     1419.6321538   9  82
  1     1419.6321985  10  77
  1     1419.6693065   7  42
* Gp# 1[8,7,1,3,2,4,6,5] x =     2491, y =   -25.48 dT[   103,   131,   189,   195,   376,   380,   434] Src Amplitude = 85.0
*       1419.6316315   8  85
*       1419.6317345   7  81
*       1419.6317622   1  84
*       1419.6318200   3  84
*       1419.6318262   2  80
*       1419.6320075   4  77
*       1419.6320110   6  74
*       1419.6320655   5  80
  1     1419.6747695   2  40
  1     1419.6753790   9  42
  1     1419.6756060   4  41
  1     1419.6784800   4  40
  1     1419.6788065   5  40
  1     1419.6798005   1  40
  1     1420.2277715   3  40
  1     1420.9191025   3  41
  1     1423.5867900   1  40
  1     1423.5875093   3  40
  1     1423.7547693   3  40
  1     1424.9697580   1  42
  1     1424.9700000   3  43
  1     1424.9715760   4  40
  1     1424.9749370   3  41
  1     1424.9775360   3  40
  1     1424.9945443   1  40
  1     1424.9966812   3  43
  1     1424.9967530   1  43
  1     1424.9978665  10  41
  1     1424.9980355   4  41
  1     1424.9987770   5  40
  1     1425.0018190   3  41
  1     1425.0027272   1  41
  1     1425.4667230   1  40
  1     1425.4709415   1  40
  1     1425.4771525   1  40
  1     1425.4809875   3  40
  1     1425.4811380   1  41
  1     1425.4834390   1  40
  1     1425.4868695   1  40
  1     1425.9911475   1  40
  1     1426.0005213   1  41
  1     1426.0024305   3  40
  1     1426.0031565   1  40
  1     1426.0067485   3  40
  1     1426.0070490   1  42
  1     1426.0097285   1  41
  1     1426.0101432   3  40
  1     1426.0117085   1  42
  1     1426.0160962   3  40
  1     1426.0168725   1  40
  1     1426.3702512   3  40
  1     1426.3704510   1  42
  1     1426.3729800   1  44
  1     1426.3731702   3  40
  1     1426.3746050   5  40
  1     1426.3753080   3  42
  1     1426.3767070   5  40
  1     1426.3781885   3  41
  1     1426.3807240   3  40
  1     1426.3828155   3  41
  1     1426.3875140   3  40
  1     1426.3879910   1  40
  1     1426.3905180   1  41
  1     1428.4922595   7  82
  1     1428.4923092   8  81
  1     1428.4923513   2  79
  1     1428.4924073   1  85
  1     1428.4924095   3  85
  1     1428.4925955   4  78
  1     1428.4926000   5  77
  1     1428.4926535   6  73
  1     1428.4927445  10  76
  1     1428.4927612   9  80
  1     1428.5266212   8  42
* Gp# 1[7,8,2,1,3,4,5,6] x =    822.8, y =   -18.28 dT[    50,    92,   148,   150,   336,   341,   394] Src Amplitude = 82.0
*       1428.4922595   7  82
*       1428.4923092   8  81
*       1428.4923513   2  79
*       1428.4924073   1  85
*       1428.4924095   3  85
