128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       25.1782805   8  76
  1       25.1784090   1  78
  1       25.1784675   3  81
  1       25.1785230   7  76
  1       25.1786120   2  76
  1       25.1786585   6  77
  1       25.1787140   5  76
  1       25.1788065   9  77
  1       25.1789160   4  76
  1       25.1790390  10  73
  1       25.1918860   5  62
* Gp# 1[8,1,3,6,5,9] x =   0.3317, y =   -11.35 dT[   129,   187,   378,   434,   526] Src Amplitude = 76.0
*         25.1782805   8  76
*         25.1784090   1  78
*         25.1784675   3  81
*         25.1786585   6  77
*         25.1787140   5  76
*         25.1788065   9  77
  1       25.1933280   1  63
  1       32.0404560   8  75
  1       32.0405845   1  77
  1       32.0406603   7  73
  1       32.0407840   3  79
  1       32.0407875   2  74
  1       32.0409857   9  75
  1       32.0409875   6  75
  1       32.0410170   5  76
  1       32.0411405   4  74
  1       32.0413810  10  71
  1       32.0505450   4  62
  1       32.0506560   9  62
  1       32.0540610   5  62
  1       37.1579005   8  72
  1       37.1580315   1  78
  1       37.1581240   7  72
  1       37.1582310   3  78
  1       37.1582330   2  73
  1       37.1584620   5  76
  1       37.1585565   6  73
  1       37.1585730   4  74
  1       37.1585800   9  75
  1       37.1586632  10  74
  1       37.1644035   2  64
  1       37.1728695   1  62
  1       43.8209495   8  73
  1       43.8210790   1  77
  1       43.8211955   7  74
  1       43.8212790   3  79
  1       43.8212812   2  74
  1       43.8215105   5  76
  1       43.8216052   6  75
  1       43.8216275   9  76
  1       43.8216290   4  75
  1       43.8217085  10  71
  1       43.8312695   5  62
  1       43.8359975   1  62
  1       62.0510090   8  79
  1       62.0511163   7  79
  1       62.0511400   1  82
  1       62.0512012   3  85
  1       62.0513410   2  76
  1       62.0513895   6  81
  1       62.0514355   4  76
  1       62.0515372   9  79
  1       62.0515460   5  79
  1       62.0516590  10  77
  1       62.0666720   6  65
* Gp# 1[8,7,1,3,6,9,10] x =     2491, y =   -21.62 dT[   107,   131,   192,   381,   528,   650] Src Amplitude = 79.0
*         62.0510090   8  79
*         62.0511163   7  79
*         62.0511400   1  82
*         62.0512012   3  85
*         62.0513895   6  81
*         62.0515372   9  79
*         62.0516590  10  77
  1       62.0671745   5  63
  1       62.0690605   6  62
  1       72.2186602   8  74
  1       72.2187890   1  76
  1       72.2189060   7  74
  1       72.2189895   3  78
  1       72.2189913   2  73
  1       72.2192212   5  74
  1       72.2193412   9  74
  1       72.2193730   6  74
  1       72.2195305   4  72
  1       72.2195998  10  70
  1       72.2253345  10  62
  1       81.8403185   8  71
  1       81.8404265   7  75
  1       81.8404510   1  78
  1       81.8405152   3  81
  1       81.8406530   2  75
  1       81.8407590   6  76
  1       81.8408822   5  77
  1       81.8409573   4  76
  1       81.8409997   9  77
  1       81.8411977  10  72
  1       81.8484065   2  63
* Gp# 1[8,7,1,3] x =     2476, y =    17.05 dT[   108,   133,   197] Src Amplitude = 71.0
*         81.8403185   8  71
*         81.8404265   7  75
*         81.8404510   1  78
*         81.8405152   3  81
  1       81.8553650   1  63
  1       81.9907392   1  65
130       89.4083125		Acquisition Paused
128       90.5256182		Acquisition Running
  1       93.9655722   1  73
  1       93.9658425   3  67
  1       93.9659490   2  67
  1       93.9663513   5  67
  1       93.9664410   4  68
  1       93.9664432   6  68
  1       93.9665208   9  69
  1       93.9671375  10  64
  1       93.9694822  10  63
  1       93.9736815   4  63
  1       93.9761400   6  62
  1       93.9790660   1  62
  1       97.3342320   8  82
  1       97.3343130   7  76
  1       97.3343515   1  79
  1       97.3345032   2  77
  1       97.3345420   3  76
  1       97.3347840   5  75
  1       97.3348060   4  76
  1       97.3348522   6  73
  1       97.3349913   9  74
  1       97.3350125  10  71
  1       97.3449902   9  64
  1      103.2763095   8  83
  1      103.2763925   7  79
  1      103.2764135   1  80
  1      103.2765660   2  78
  1      103.2766625   3  75
  1      103.2767450   5  76
  1      103.2768703   4  76
  1      103.2770340   6  73
  1      103.2770740  10  71
  1      103.2770775   9  74
  1      103.2820242   7  63
  1      103.2870550   9  62
* Gp# 1[8,7,1,2,5] x =     2389, y =   -21.12 dT[    83,   104,   257,   436] Src Amplitude = 83.0
*        103.2763095   8  83
*        103.2763925   7  79
*        103.2764135   1  80
*        103.2765660   2  78
*        103.2767450   5  76
  1      103.2908205   1  63
  1      109.5521640   8  82
  1      109.5522515   1  79
  1      109.5522963   7  76
  1      109.5524033   2  76
  1      109.5524995   3  75
  1      109.5526835   5  74
  1      109.5527055   4  76
  1      109.5528722   6  72
  1      109.5529117  10  71
  1      109.5529125   9  73
  1      109.5568385   8  63
  1      109.5628905   9  62
  1      109.5634750   5  63
  1      109.5657285   6  62
  1      115.7705530   8  82
  1      115.7706465   7  77
  1      115.7706720   1  80
  1      115.7708240   2  75
  1      115.7708625   3  74
  1      115.7711042   5  74
  1      115.7711600   4  74
  1      115.7713215   9  73
  1      115.7713742   6  73
  1      115.7714032  10  70
  1      115.7770645   2  64
  1      115.7811517   9  64
  1      115.7853300   1  63
  1      147.6243220   8  81
  1      147.6244030   7  79
  1      147.6244400   1  81
  1      147.6245923   2  79
  1      147.6246310   3  76
  1      147.6247682   5  76
  1      147.6248945   4  77
  1      147.6249423   6  75
  1      147.6250203   9  75
  1      147.6250607  10  74
  1      147.6290293   8  65
  1      147.6368242   4  62
  1      147.6385690   5  63
  1      147.6411052   1  62
  1      155.1531205   8  80
  1      155.1532013   7  76
  1      155.1532423   1  80
  1      155.1533905   2  79
  1      155.1534263   3  77
  1      155.1536730   5  77
  1      155.1536910   4  77
  1      155.1537405   6  74
  1      155.1538833   9  75
  1      155.1538988  10  72
  1      155.1665705   5  63
  1      155.1692695   5  62
  1      155.1698992   1  63
  1      162.6109835   8  78
  1      162.6110682   7  76
  1      162.6111065   1  76
  1      162.6112530   2  78
  1      162.6113502   3  77
  1      162.6115355   5  76
  1      162.6115552   4  77
  1      162.6117457   9  75
  1      162.6117637  10  69
  1      162.6117935   6  72
  1      162.6156913   8  62
  1      162.6217420   9  62
  1      162.6227530   6  62
  1      162.6247740   1  62
130      177.8101235		Acquisition Paused
128      178.3024772		Acquisition Running
  1      184.0096455   8  79
  1      184.0096952   2  76
  1      184.0096960   7  78
  1      184.0096992   1  88
  1      184.0099530   3  80
  1      184.0099542   5  75
  1      184.0101525   6  75
  1      184.0101743   4  74
  1      184.0103345   9  73
  1      184.0104445  10  73
  1      190.9458925   8  76
* Gp# 1[8,2,7,1,5] x =    401.4, y =    168.3 dT[    50,    51,    54,   309] Src Amplitude = 79.0
*        184.0096455   8  79
*        184.0096952   2  76
*        184.0096960   7  78
*        184.0096992   1  88
*        184.0099542   5  75
  1      190.9459413   7  75
  1      190.9459443   1  86
  1      190.9460480   2  76
  1      190.9461972   3  75
  1      190.9463860   4  72
  1      190.9464202   6  73
  1      190.9464672   5  73
  1      190.9465790   9  73
  1      190.9466855  10  71
  1      190.9511835   7  62
  1      190.9586660   1  62
* Gp# 1[8,7,1,2] x =      237, y =    133.5 dT[    49,    52,   156] Src Amplitude = 76.0
*        190.9458925   8  76
*        190.9459413   7  75
*        190.9459443   1  86
*        190.9460480   2  76
  1      210.5164550   7  78
  1      210.5164742   8  81
  1      210.5165202   2  79
  1      210.5165245   1  91
  1      210.5166995   3  82
  1      210.5167505   4  78
  1      210.5167755   5  78
  1      210.5169395   6  78
  1      210.5170822  10  76
  1      210.5170893   9  78
  1      210.5300808  10  63
* Gp# 1[7,8,2,1,4,5,9] x =      634, y =   -47.98 dT[    19,    65,    70,   296,   321,   634] Src Amplitude = 78.0
*        210.5164550   7  78
*        210.5164742   8  81
*        210.5165202   2  79
*        210.5165245   1  91
*        210.5167505   4  78
*        210.5167755   5  78
*        210.5170893   9  78
  1      210.5331055   4  62
  1      218.9700602   7  79
  1      218.9700783   8  78
  1      218.9701290   1  86
  1      218.9702322   2  77
  1      218.9703043   3  80
  1      218.9703862   5  75
  1      218.9706025   4  74
  1      218.9706600   6  76
  1      218.9707635   9  73
  1      218.9708663  10  72
  1      218.9834452   1  66
* Gp# 1[7,8,1,2,5] x =    546.1, y =      -64 dT[    18,    69,   172,   326] Src Amplitude = 79.0
*        218.9700602   7  79
*        218.9700783   8  78
*        218.9701290   1  86
*        218.9702322   2  77
*        218.9703862   5  75
  1      219.0632115   8  76
  1      219.0632585   7  77
  1      219.0632615   1  85
  1      219.0633655   2  75
  1      219.0635152   3  77
  1      219.0636923   5  73
  1      219.0637380   6  73
  1      219.0637383   4  73
  1      219.0638965   9  72
  1      219.0640067  10  71
  1      219.0657635   8  63
  1      219.0698545   2  62
* Gp# 1[8,7,1,2] x =      259, y =    130.7 dT[    47,    50,   154] Src Amplitude = 76.0
*        219.0632115   8  76
*        219.0632585   7  77
*        219.0632615   1  85
*        219.0633655   2  75
  1      219.0743122   5  62
  1      219.0768055   1  63
  1      227.7696160   8  76
  1      227.7696630   7  76
  1      227.7696692   1  85
  1      227.7697700   2  75
  1      227.7699195   3  76
  1      227.7701410   4  72
  1      227.7701895   5  73
  1      227.7701975   6  73
  1      227.7703387   9  71
  1      227.7704150  10  71
  1      227.7764210   2  62
* Gp# 1[8,7,1,2] x =      278, y =    119.7 dT[    47,    53,   154] Src Amplitude = 76.0
*        227.7696160   8  76
*        227.7696630   7  76
*        227.7696692   1  85
*        227.7697700   2  75
  1      227.7791525   6  64
  1      227.7832730   1  64
  1      229.7479682   7  65
  1      229.7490712   1  65
  1      229.7491080   8  63
  1      229.7492510  10  66
  1      229.7501685   5  62
  1      229.7505560   6  62
  1      229.7516350   9  64
  1      229.7516735   8  63
  1      229.7530095   4  63
  1      229.7535903   9  63
  1      229.7548420   8  62
130      321.8744780		Acquisition Paused
128      322.5133092		Acquisition Running
  1      355.4811295   7  80
  1      355.4811655   8  80
  1      355.4812113   2  83
  1      355.4812510   1  90
  1      355.4813895   3  78
  1      355.4814570   4  79
  1      355.4814645   5  79
  1      355.4817102   9  79
  1      355.4817222  10  76
  1      355.4817562   6  78
  1      355.4890680   8  62
* Gp# 1[7,8,2,1,4,5,9,10] x =    684.7, y =   -66.96 dT[    36,    82,   122,   328,   335,   581,   593] Src Amplitude = 80.0
*        355.4811295   7  80
*        355.4811655   8  80
*        355.4812113   2  83
*        355.4812510   1  90
*        355.4814570   4  79
*        355.4814645   5  79
*        355.4817102   9  79
*        355.4817222  10  76
  1      355.4959755   5  62
  1      355.4966955   6  65
  1      355.4971048  10  62
  1      365.4029983   7  73
  1      365.4030962   8  75
  1      365.4031252   1  85
  1      365.4031830   2  78
  1      365.4032875   3  73
  1      365.4035700   5  75
  1      365.4035770   4  75
  1      365.4036552   6  73
  1      365.4037413   9  73
  1      365.4038298  10  71
  1      365.4070705   8  62
  1      365.4134697  10  63
* Gp# 1[7,8,1,2] x =    839.5, y =   -34.29 dT[    98,   127,   185] Src Amplitude = 73.0
*        365.4029983   7  73
*        365.4030962   8  75
*        365.4031252   1  85
*        365.4031830   2  78
  1      373.0928250   7  74
  1      373.0929152   8  76
  1      373.0929430   1  85
  1      373.0930020   2  79
  1      373.0931030   3  74
  1      373.0933690   5  75
  1      373.0933960   4  75
  1      373.0934740   6  75
  1      373.0935600   9  74
  1      373.0936485  10  71
  1      373.1032880  10  62
* Gp# 1[7,8,1,2] x =    809.1, y =   -30.16 dT[    90,   118,   177] Src Amplitude = 74.0
*        373.0928250   7  74
*        373.0929152   8  76
*        373.0929430   1  85
*        373.0930020   2  79
  1      385.4529773   7  77
  1      385.4530735   8  77
  1      385.4531035   1  86
  1      385.4531620   2  79
  1      385.4532660   3  75
  1      385.4535230   4  76
  1      385.4535485   5  76
  1      385.4536340   6  76
  1      385.4537203   9  76
  1      385.4537967  10  74
  1      393.7353855   7  73
* Gp# 1[7,8,1,2] x =    832.7, y =    -35.5 dT[    96,   126,   185] Src Amplitude = 77.0
*        385.4529773   7  77
*        385.4530735   8  77
*        385.4531035   1  86
*        385.4531620   2  79
  1      393.7354320   8  75
  1      393.7354602   1  83
  1      393.7355202   2  76
  1      393.7356260   3  72
  1      393.7359125   4  71
  1      393.7359420   5  72
  1      393.7359930   6  72
  1      393.7360300  10  70
  1      393.7361595   9  71
  1      393.7375292   7  63
  1      393.7379575   8  62
  1      393.7436810   4  62
* Gp# 1[7,8,1,2] x =    670.1, y =   -5.092 dT[    47,    75,   135] Src Amplitude = 73.0
*        393.7353855   7  73
*        393.7354320   8  75
*        393.7354602   1  83
*        393.7355202   2  76
130      409.4911767		Acquisition Paused
128      410.0509122		Acquisition Running
  1      414.1848020   7  69
  1      414.1848485   2  72
  1      414.1848712   1  83
  1      414.1849100   3  81
  1      414.1849182   8  69
  1      414.1852640   5  77
  1      414.1852665   4  74
  1      414.1853305   6  78
  1      414.1856175   9  76
  1      414.1856977  10  76
  1      414.1955195   2  63
* Gp# 1[7,2,1,3] x =    673.9, y =    174.7 dT[    47,    69,   108] Src Amplitude = 69.0
*        414.1848020   7  69
*        414.1848485   2  72
*        414.1848712   1  83
*        414.1849100   3  81
  1      414.1961522   3  66
  1      414.1967722  10  65
  1      414.1992972   4  62
  1      414.2024445   1  63
  1      419.8124545   7  68
  1      419.8125035   2  70
  1      419.8125192   1  80
  1      419.8125630   3  78
  1      419.8125705   8  66
  1      419.8129190   4  70
  1      419.8129195   5  73
  1      419.8129840   6  75
  1      419.8132947   9  71
  1      419.8133547  10  73
  1      419.8148265   8  64
  1      419.8195952   3  66
* Gp# 1[7,2,1,3] x =    651.5, y =    166.5 dT[    49,    65,   109] Src Amplitude = 68.0
*        419.8124545   7  68
*        419.8125035   2  70
*        419.8125192   1  80
*        419.8125630   3  78
  1      419.8225280  10  62
  1      425.4308752   7  68
  1      425.4309220   2  70
  1      425.4309470   1  81
  1      425.4309835   3  78
  1      425.4309892   8  67
  1      425.4313400   4  71
  1      425.4313403   5  75
  1      425.4314042   6  75
  1      425.4316457  10  72
  1      425.4316532   9  73
  1      425.4332022   8  64
  1      425.4420378   9  62
* Gp# 1[7,2,1,3] x =      683, y =    175.3 dT[    47,    72,   108] Src Amplitude = 68.0
*        425.4308752   7  68
*        425.4309220   2  70
*        425.4309470   1  81
*        425.4309835   3  78
  1      425.4424190   4  62
130      435.2970967		Acquisition Paused
128      436.0599527		Acquisition Running
  1      449.9988242   7  77
  1      449.9990772   3  80
  1      449.9990805   2  76
  1      449.9991455   1  76
  1      449.9991773   8  74
  1      449.9994552   5  71
  1      449.9994905   4  70
  1      449.9994943   6  73
  1      449.9997045  10  72
  1      449.9997640   9  70
  1      450.0033615   3  63
  1      450.0065090   9  62
  1      450.0086672   5  63
  1      456.6620945   7  78
  1      456.6623500   3  83
  1      456.6623520   2  80
  1      456.6624005   8  75
  1      456.6624142   1  79
  1      456.6627182   4  73
  1      456.6627245   5  75
  1      456.6627650   6  76
  1      456.6629290   9  74
  1      456.6629732  10  74
  1      456.6693853   2  63
  1      456.6741350   9  62
  1      456.6759502   5  62
  1      465.1906885   7  77
  1      465.1909210   3  78
  1      465.1909225   2  74
  1      465.1910122   8  73
