128        0.0000000		Acquisition Running
211        2.7575993		Threshold for Channel   1 is now  41dB {Fixed}
211       15.7867710		Threshold for Channel   1 is now  50dB {Fixed}
211       16.7522970		Threshold for Channel   2 is now  50dB {Fixed}
211       16.7533183		Threshold for Channel   3 is now  50dB {Fixed}
211       16.7542332		Threshold for Channel   4 is now  50dB {Fixed}
211       16.7552573		Threshold for Channel   5 is now  50dB {Fixed}
211       16.7561743		Threshold for Channel   6 is now  50dB {Fixed}
211       16.7571933		Threshold for Channel   7 is now  50dB {Fixed}
211       16.7581063		Threshold for Channel   8 is now  50dB {Fixed}
211       16.7591025		Threshold for Channel   9 is now  50dB {Fixed}
211       16.7599942		Threshold for Channel  10 is now  50dB {Fixed}
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       53.9786290   8  76
  1       53.9787535   7  63
  1       53.9787575   1  74
  1       53.9788210   2  73
  1       53.9789568   3  63
  1       53.9790110   6  69
  1       53.9790645   5  69
* Gp# 1[8,1,3] x =    12.35, y =   -14.63, q = 1 dT[   237,   336] Src Amplitude = 76.0
*         53.9786290   8  76
*         53.9787575   1  74
*         53.9789568   3  63
  1       53.9791540   9  74
  1       53.9791870  10  69
  1       53.9792545   4  68
  1       53.9925138   2  51
  1       53.9942955   2  51
  1       53.9956425   8  51
  1       53.9965495   6  53
  1       53.9965968   5  52
  1       53.9975290   2  51
  1       53.9986125   5  52
  1       53.9987797   9  51
  1       53.9988325   1  52
  1       53.9990547   8  50
  1       54.0004567   6  51
* Gp# 1[5,1,8] x =     2404, y =     1335, q = 1 dT[   423,   442] Src Amplitude = 52.0
*         53.9986125   5  52
*         53.9988325   1  52
*         53.9990547   8  50
  1       54.0005988   1  51
  1       54.0025082   1  50
  1       57.6084678   8  76
  1       57.6085967   1  75
  1       57.6086667   7  66
  1       57.6087943   2  74
  1       57.6087957   3  63
  1       57.6088495   6  69
  1       57.6089185   5  70
* Gp# 1[8,1,3] x =    16.85, y =    -18.2, q = 1 dT[   241,   340] Src Amplitude = 76.0
*         57.6084678   8  76
*         57.6085967   1  75
*         57.6087957   3  63
  1       57.6089925   9  73
  1       57.6090258  10  70
  1       57.6090610   4  67
  1       57.6111240   3  50
  1       57.6238807   2  51
  1       57.6263890   6  52
  1       57.6264828   5  52
  1       57.6273677   2  51
  1       57.6281752  10  54
  1       57.6284468   5  53
  1       57.6284583   1  51
  1       57.6286185   9  51
  1       57.6288445   6  50
  1       57.6288938   8  50
  1       57.6302955   6  51
* Gp# 1[10,1,8] x =     1698, y =     1332, q = 1 dT[   690,   715] Src Amplitude = 54.0
*         57.6281752  10  54
*         57.6284583   1  51
*         57.6288938   8  50
  1       57.6304375   1  52
  1       57.6316268   9  50
  1       61.0141455   8  77
  1       61.0142692   1  75
  1       61.0143425   7  64
  1       61.0143668   2  72
  1       61.0144840   3  61
  1       61.0145755   5  69
  1       61.0145935   6  68
  1       61.0146657   9  72
  1       61.0146747   4  69
  1       61.0147025  10  70
  1       61.0161793   3  51
  1       61.0251552   7  52
  1       61.0282965   7  50
  1       61.0295558   2  52
  1       61.0314055   8  51
  1       61.0315848   5  51
  1       61.0320635   6  53
  1       61.0327348   4  53
  1       61.0330432   2  51
  1       61.0335208   5  51
  1       61.0342457   9  51
  1       61.0343415   1  51
  1       61.0343585   6  51
  1       61.0352637  10  52
  1       61.0356182   4  51
* Gp# 1[1,6,9] x =     2397, y =     1524, q = 1 dT[    17,   234] Src Amplitude = 51.0
*         61.0343415   1  51
*         61.0343585   6  51
*         61.0342457   9  51
  1       64.3840080   8  77
  1       64.3841405   1  75
  1       64.3842068   7  64
  1       64.3843323   2  71
  1       64.3843495   3  58
  1       64.3844467   5  69
* Gp# 1[8,1,3] x =    16.13, y =   -14.62, q = 1 dT[   237,   337] Src Amplitude = 77.0
*         64.3840080   8  77
*         64.3841405   1  75
*         64.3843495   3  58
  1       64.3844615   6  67
  1       64.3845340   9  70
  1       64.3845395   4  66
  1       64.3845707  10  69
  1       64.3951562   7  50
  1       64.3972590   8  56
  1       64.3973465   2  51
  1       64.3993497   8  51
  1       64.3994945   4  53
  1       64.4016390   6  51
  1       64.4020383   5  52
  1       64.4032245  10  52
  1       64.4036225   6  51
  1       64.4037603   1  53
  1       64.4039915   5  51
  1       64.4044408   9  51
  1       64.4051340  10  51
  1       64.4056113   1  50
  1       70.9810720   8  73
  1       70.9812015   1  72
  1       70.9812738   7  61
  1       70.9813950   2  68
  1       70.9814125   3  58
  1       70.9815230   5  66
  1       70.9815980   9  70
  1       70.9816010   6  64
  1       70.9816347  10  68
  1       70.9816940   4  69
  1       70.9887698   7  50
  1       70.9900160   7  50
  1       70.9927687   7  50
  1       70.9966173   6  52
  1       70.9969162   4  51
  1       70.9970610   8  50
  1       70.9976468   5  50
  1       70.9985432   6  52
  1       70.9986272   8  52
  1       70.9987478   4  51
  1       70.9988840   5  51
  1       70.9997992   9  51
* Gp# 1[6,8,4] x =     1661, y =     1042, q = 0.7103 dT[    84,   205] Src Amplitude = 52.0
*         70.9985432   6  52
*         70.9986272   8  52
*         70.9987478   4  51
  1       71.0003653  10  51
  1       71.0004605   1  51
  1       71.0010545   5  50
  1       71.0011748   9  50
211       78.3466258		Time Mark
  1      114.2917540   1  51
  1      114.2931907   9  52
  1      114.2931968  10  50
  1      114.2934445   1  51
  1      114.2953878   1  50
  1      114.4338348   1  59
  1      114.4342183   2  52
  1      114.4347248   8  52
  1      114.4349773   9  56
  1      114.4352153   4  51
  1      114.4352425  10  57
  1      114.4352682   5  55
  1      114.4356038   6  56
  1      114.4357260   2  54
  1      114.4362867   8  53
  1      114.4364070   7  51
  1      114.4365645   4  54
* Gp# 1[2,6,5] x =     2271, y =    904.2, q = 1 dT[    60,   178] Src Amplitude = 54.0
*        114.4357260   2  54
*        114.4356038   6  56
*        114.4352682   5  55
  1      114.4378768   2  50
  1      114.4407658   4  51
  1      114.4410100   8  51
  1      114.4413908   6  52
  1      114.4415443   5  53
  1      114.4415863   9  51
  1      114.4421580   4  52
  1      114.4428120  10  50
  1      114.4435663   9  50
  1      114.4442345   6  51
  1      114.4446320  10  51
  1      114.4456083   1  62
  1      114.4459238   8  51
  1      114.4461500   5  51
  1      114.4463640   9  62
  1      114.4463778   6  50
  1      114.4464985  10  61
  1      114.4470023   2  57
  1      114.4470555   4  58
* Gp# 1[8,5,6] x =    830.8, y =    338.5, q = 0.668 dT[   226,   454] Src Amplitude = 51.0
*        114.4459238   8  51
*        114.4461500   5  51
*        114.4463778   6  50
  1      114.4473977   5  58
  1      114.4475923   8  58
  1      114.4477213   6  59
  1      114.4493475   7  53
  1      114.4514975   7  51
  1      114.4531230   7  50
  1      114.4555615   2  52
  1      114.4557313   8  53
  1      114.4578468   8  50
  1      114.4591897   6  52
  1      114.4598528   4  51
  1      114.4606270  10  51
  1      114.4616780   5  50
  1      114.4620463   9  51
  1      114.4629750  10  50
  1      114.4630070   1  50
  1      114.4738595   1  56
  1      114.4745550   9  52
  1      114.4747955  10  51
  1      114.4757755   4  51
  1      114.4761592   5  51
* Gp# 1[10,9,1] x =    561.5, y =     1688, q = 0.668 dT[   128,   283] Src Amplitude = 51.0
*        114.4747955  10  51
*        114.4745550   9  52
*        114.4738595   1  56
  1      114.4764418   9  55
  1      114.4766338   8  50
  1      114.4766528  10  56
  1      114.4768067   6  51
  1      114.4773780   4  51
  1      114.4776545   5  52
  1      114.4780523   6  53
  1      114.4784548   8  50
  1      114.4793768   4  50
  1      114.4806155   6  51
  1      114.4810895   1  52
  1      114.4821410  10  51
  1      114.4834830   9  51
  1      114.4835083   1  51
  1      114.8999210   1  57
  1      114.9008183   2  51
  1      114.9009283  10  56
  1      114.9009303   9  55
  1      114.9009583   5  53
  1      114.9010223   8  52
  1      114.9011690   4  51
  1      114.9013560   6  54
  1      114.9028385   4  52
* Gp# 1[4,9,5,8] x =     2155, y =     1703, q = 0.8735 dT[    49,    74,   308] Src Amplitude = 51.0
*        114.9011690   4  51
*        114.9009303   9  55
*        114.9009583   5  53
*        114.9010223   8  52
  1      114.9029215   5  52
  1      114.9035230   8  51
  1      114.9050643   6  51
  1      114.9054188   4  52
  1      114.9065493   5  50
  1      114.9073753   9  51
  1      114.9080273   1  50
  1      114.9097090   9  50
  1      114.9098148   1  51
  1      127.9362428   1  50
  1      127.9372135   8  50
  1      127.9373828  10  56
  1      127.9374520   9  56
  1      127.9374768   5  52
  1      127.9374880   1  56
  1      127.9375958   2  50
  1      127.9376340   4  50
  1      127.9386282   6  53
  1      127.9389765   4  53
  1      127.9389767   5  51
  1      127.9390447   8  51
  1      127.9408572   5  51
* Gp# 1[1,6,8] x =     2059, y =     1148, q = 1 dT[   151,   283] Src Amplitude = 56.0
*        127.9374880   1  56
*        127.9386282   6  53
*        127.9390447   8  51
  1      127.9419223   6  50
  1      127.9426740   5  50
  1      127.9432838  10  51
  1      128.6851910   1  51
  1      129.6905713   8  78
  1      129.6907193   1  78
  1      129.6907457   7  65
  1      129.6908365   2  72
  1      129.6909520   3  57
  1      129.6910550   5  67
  1      129.6911363   4  70
  1      129.6911665  10  73
* Gp# 1[8,7,2,3,4,5] x =    246.1, y =    9.303, q = 0.9989 dT[   138,   260,   351,   588,   652] Src Amplitude = 78.0
*        129.6905713   8  78
*        129.6907457   7  65
*        129.6908365   2  72
*        129.6909520   3  57
*        129.6911363   4  70
*        129.6910550   5  67
  1      129.6912670   9  68
  1      129.6913427   6  67
  1      129.6928535   3  50
  1      129.7008112   7  50
  1      129.7037827   2  50
  1      129.7057277   2  51
  1      129.7076128   6  52
  1      129.7085087   5  51
  1      129.7087127   4  51
  1      129.7090893   6  51
  1      129.7101887   4  51
  1      129.7106272   1  51
  1      129.7106520  10  50
  1      129.7122040   1  51
  1      132.9361328   8  78
  1      132.9362805   1  77
  1      132.9363078   7  64
  1      132.9363990   2  72
  1      132.9365137   3  57
  1      132.9366168   5  68
  1      132.9366983   4  70
  1      132.9367277  10  74
* Gp# 1[8,7,2,3,4,5] x =    245.1, y =    7.378, q = 0.9986 dT[   138,   263,   352,   590,   651] Src Amplitude = 78.0
*        132.9361328   8  78
*        132.9363078   7  64
*        132.9363990   2  72
*        132.9365137   3  57
*        132.9366983   4  70
*        132.9366168   5  68
  1      132.9368287   9  70
  1      132.9368570   6  67
  1      132.9472108   7  50
  1      132.9491647   2  52
  1      132.9511822   2  51
  1      132.9542603   5  50
  1      132.9542743   4  52
  1      132.9548553   9  53
  1      132.9555850   8  51
  1      132.9565315  10  50
  1      132.9566900   9  51
  1      132.9571450   1  52
  1      136.2883667   8  80
  1      136.2884763   7  67
  1      136.2884863   1  78
  1      136.2886328   2  73
  1      136.2887475   3  58
  1      136.2887985   4  71
  1      136.2888505   5  68
  1      136.2889285  10  74
* Gp# 1[8,7,2,3,4,5] x =      245, y =    8.609, q = 0.9987 dT[   139,   262,   352,   589,   651] Src Amplitude = 80.0
*        136.2883667   8  80
*        136.2884763   7  67
*        136.2886328   2  73
*        136.2887475   3  58
*        136.2887985   4  71
*        136.2888505   5  68
  1      136.2890405   9  69
  1      136.2890910   6  68
  1      136.2910953   3  51
  1      136.2991690   7  50
  1      136.3034160   2  50
  1      136.3062552   4  52
  1      136.3063045   5  51
  1      136.3063672   8  51
  1      136.3067693  10  52
  1      136.3075990   9  50
* Gp# 1[8,5,4,10] x =    511.4, y =    586.3, q = 0.6669 dT[   125,   141,   681] Src Amplitude = 51.0
*        136.3063672   8  51
*        136.3063045   5  51
*        136.3062552   4  52
*        136.3067693  10  52
  1      136.3078185   8  51
  1      136.3087748  10  51
  1      136.3089235   9  51
  1      136.3104295   5  50
  1      136.3110118   1  50
  1      139.6790490   8  78
  1      139.6791967   1  77
  1      139.6792238   7  65
  1      139.6793148   2  71
  1      139.6794322   3  57
  1      139.6795398   5  68
  1      139.6796140   4  69
  1      139.6796435  10  73
* Gp# 1[8,7,2,3,4,5] x =    242.8, y =    9.916, q = 0.9985 dT[   139,   263,   351,   589,   650] Src Amplitude = 78.0
*        139.6790490   8  78
*        139.6792238   7  65
*        139.6793148   2  71
*        139.6794322   3  57
*        139.6796140   4  69
*        139.6795398   5  68
  1      139.6797448   9  69
  1      139.6797733   6  66
  1      139.6891103   7  50
  1      139.6907295   7  51
  1      139.6920842   2  51
  1      139.6934450   8  53
  1      139.6934812   2  50
  1      139.6946395   4  53
  1      139.6971903   4  51
  1      139.6974855   1  54
  1      139.6979648   9  53
  1      139.6979905  10  51
  1      139.6996010   9  51
  1      139.6999500   1  51
  1      139.7016940   1  50
  1      142.9302123   8  79
  1      142.9302975   7  65
  1      142.9303332   1  77
  1      142.9304792   2  74
  1      142.9305935   3  58
  1      142.9306968   5  69
  1      142.9307750  10  74
* Gp# 1[8,7,2,3,5] x =    245.4, y =    5.199, q = 0.9983 dT[   138,   263,   352,   652] Src Amplitude = 79.0
*        142.9302123   8  79
*        142.9302975   7  65
*        142.9304792   2  74
*        142.9305935   3  58
*        142.9306968   5  69
  1      142.9307785   4  71
  1      142.9308585   9  70
  1      142.9309325   6  68
  1      142.9433325   7  51
  1      142.9450685   7  50
  1      142.9452625   2  51
  1      142.9465322   8  51
  1      142.9468300   6  54
  1      142.9478625   5  50
  1      142.9482140   8  50
  1      142.9483540   4  53
  1      142.9492685   5  51
  1      142.9496645   8  51
  1      142.9499312   4  51
  1      142.9506118  10  51
  1      142.9507705   9  50
  1      142.9518462   1  51
  1      142.9522760   5  50
211      159.1635940		Time Mark
130      163.1147080		Acquisition Paused
128      167.7317198		Acquisition Running
  1      171.3203950   8  75
  1      171.3204425   7  68
  1      171.3204930   1  78
  1      171.3205948   2  71
  1      171.3207630   3  57
  1      171.3208770   5  66
  1      171.3209127   9  71
  1      171.3209170   6  67
