128        0.0000000		Acquisition Running
130       28.6361893		Acquisition Paused
128       44.4204070		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       46.6096775   2  73
  1       46.6095225   8  70
  1       46.6096000   1  78
  1       46.6097353   7  69
  1       46.6097913   3  65
  1       46.6099253   5  73
  1       46.6100087   6  71
  1       46.6100438   4  71
  1       46.6100465  10  72
  1       46.6101727   9  81
  1       46.6232030   7  50
* Gp# 1[8,2,3,4,5,10] x =   0.3669, y =    148.5, q = 0.9989 dT[   232,   240,   525,   643,   829] Src Amplitude = 70.0
*         46.6095225   8  70
*         46.6096775   2  73
*         46.6097913   3  65
*         46.6100438   4  71
*         46.6099253   5  73
*         46.6100465  10  72
  1       46.6256620   2  52
  1       46.6280133   2  50
  1       46.6293042   8  50
  1       46.6293190   6  51
  1       46.6301427   4  51
  1       46.6303105   5  50
  1       46.6306267   6  52
  1       46.6313780   9  50
  1       46.6314305  10  51
  1       46.6317710   1  50
  1       46.6333408   1  51
  1       50.5794155   8  72
  1       50.5794925   1  81
  1       50.5795743   2  77
  1       50.5796317   7  72
  1       50.5796875   3  68
  1       50.5798188   5  77
  1       50.5798902   6  73
  1       50.5799398  10  76
  1       50.5799407   4  73
  1       50.5800617   9  84
  1       50.6008353   2  51
* Gp# 1[8,2,3,4,5,10] x =    11.05, y =    179.8, q = 0.9997 dT[   217,   225,   511,   608,   814] Src Amplitude = 72.0
*         50.5794155   8  72
*         50.5795743   2  77
*         50.5796875   3  68
*         50.5799407   4  73
*         50.5798188   5  77
*         50.5799398  10  76
  1       50.6014838   5  52
  1       50.6025615   8  52
  1       50.6032940   4  50
  1       50.6033160   5  53
  1       50.6040200   8  51
* Gp# 1[8,4,5] x =    325.9, y =   -173.9, q = 1 dT[   728,   761] Src Amplitude = 52.0
*         50.6025615   8  52
*         50.6032940   4  50
*         50.6033160   5  53
  1       50.6060163  10  52
  1       50.6063883   5  51
  1       50.6065272   1  52
  1       53.6914333   8  73
  1       53.6915195   1  81
  1       53.6915562   7  74
  1       53.6915890   2  79
  1       53.6917052   3  69
  1       53.6917730   6  78
  1       53.6918188   4  78
  1       53.6918285   5  80
  1       53.6919165   9  89
  1       53.6919560  10  78
* Gp# 1[8,1,2,3,4,5] x =    48.88, y =      127, q = 0.939 dT[   220,   223,   223,   524,   617] Src Amplitude = 73.0
*         53.6914333   8  73
*         53.6915195   1  81
*         53.6915890   2  79
*         53.6917052   3  69
*         53.6918188   4  78
*         53.6918285   5  80
  1       53.6997590   3  51
  1       53.7017853   3  51
  1       53.7039192   3  63
  1       53.7062527   3  56
  1       53.7173288   7  51
  1       53.7193430   7  51
  1       53.7208205   2  51
  1       53.7234125   8  54
  1       53.7237200   5  51
  1       53.7250978   6  51
  1       53.7251025   4  51
  1       53.7258912   9  51
  1       53.7267003   1  51
  1       53.7269638  10  50
  1       53.7293975   1  50
  1       54.2067565   1  59
  1       54.2072523   8  53
  1       54.2073033   2  55
  1       54.2076973   9  57
  1       54.2077340  10  57
  1       54.2077710   6  57
  1       54.2077812   4  50
  1       54.2080230   5  55
  1       54.2088543   8  54
  1       54.2090830   4  56
  1       54.2124015   5  53
  1       54.2127328   8  51
  1       54.2138040   4  50
  1       54.2140163   6  50
  1       54.2148075   5  52
  1       54.2148385   8  50
  1       54.2154028   4  51
  1       54.2155825   6  52
  1       54.2157395  10  51
  1       54.2158760   2  50
  1       54.2164113   9  53
  1       54.2182192   1  51
  1       54.2190330   9  51
  1       58.3694317   8  73
  1       58.3695053   1  82
  1       58.3695873   2  76
  1       58.3696422   7  73
  1       58.3697010   3  68
  1       58.3698188   5  75
  1       58.3699033   6  74
  1       58.3699067   9  83
  1       58.3699155   4  74
  1       58.3699530  10  75
  1       58.3913487   8  51
* Gp# 1[8,2,3,4,5,10] x =    32.34, y =    139.3, q = 0.9988 dT[   232,   254,   526,   643,   829] Src Amplitude = 73.0
*         58.3694317   8  73
*         58.3695873   2  76
*         58.3697010   3  68
*         58.3699155   4  74
*         58.3698188   5  75
*         58.3699530  10  75
  1       58.3917820   2  51
  1       58.3925938   4  52
  1       58.3932455   8  51
  1       58.3939953   5  51
  1       58.3940252   6  52
  1       58.3944077   4  50
  1       58.3959442   8  50
  1       58.3960290  10  51
  1       58.3964020   5  50
  1       58.3978730  10  51
* Gp# 1[8,10,5] x =    365.6, y =     1489, q = 0.9988 dT[    85,   458] Src Amplitude = 50.0
*         58.3959442   8  50
*         58.3960290  10  51
*         58.3964020   5  50
  1       58.3989888   1  51
  1       61.7242850   8  73
  1       61.7243622   1  82
  1       61.7244410   2  77
  1       61.7244983   7  72
  1       61.7245578   3  69
  1       61.7246730   5  76
  1       61.7247197   6  75
  1       61.7247640   9  84
  1       61.7247715   4  75
  1       61.7248097  10  77
