128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       35.0033812   8  54
  1       35.7375780   8  86
  1       35.7377598   7  70
  1       35.7377727   1  72
  1       35.7379623   2  66
  1       35.7379850   3  60
  1       35.7382007  10  74
  1       35.7382075   9  68
  1       35.7382530   4  66
  1       35.7382675   6  67
  1       35.7383598   5  67
  1       35.7475017   7  52
  1       35.7517953   2  50
  1       35.7544920   9  51
  1       35.7546233   4  52
  1       35.7546353   6  52
  1       35.7556092   5  50
  1       35.7558370  10  53
  1       35.7560847   9  51
  1       35.7574833  10  50
  1       35.7582805   1  50
  1       35.7589203   8  71
  1       35.7600158   1  52
  1       41.4610682   8  85
  1       41.4612520   7  68
  1       41.4612595   1  69
  1       41.4614697   2  65
  1       41.4614750   3  58
  1       41.4616973   9  67
  1       41.4617122  10  70
  1       41.4617785   6  64
  1       41.4617788   4  64
  1       41.4618523   5  65
  1       41.4676883   7  51
  1       41.4709920   7  50
  1       41.4715282   2  50
  1       41.4728328   2  53
  1       41.4748728   4  50
  1       41.4754347   6  52
  1       41.4755878   5  52
  1       41.4769372   1  51
  1       41.4774667   9  50
  1       41.4781403   6  50
  1       41.4783790   4  50
  1       41.4789675  10  52
  1       41.4789705   1  50
  1       41.6458140   1  57
  1       41.6461160   9  55
  1       41.6464583  10  52
  1       41.6468002   6  50
  1       41.6481965   6  50
* Gp# 1[1,9,10] x =        0, y =     1350, q = 0 dT[   211,   319] Src Amplitude = 57.0
*         41.6458140   1  57
*         41.6461160   9  55
*         41.6464583  10  52
  1       41.6483658  10  52
  1       41.6493470   1  51
  1       41.6502128  10  50
  1       46.0101980   8  81
  1       46.0103820   7  66
  1       46.0104307   1  68
  1       46.0105978   2  61
  1       46.0106075   3  55
  1       46.0108768   4  61
  1       46.0109112   6  62
  1       46.0109165  10  68
  1       46.0109380   9  66
  1       46.0109890   5  63
  1       46.0144090   7  51
  1       46.0173858   2  50
  1       46.0192570   2  51
  1       46.0209215   8  51
  1       46.0211082   5  51
  1       46.0218645   4  51
  1       46.0221755   9  50
  1       46.0234595  10  51
  1       46.0242298   6  50
  1       46.0250545  10  50
  1       46.0270487  10  50
  1       46.1661100   1  58
  1       46.1662035   8  51
  1       46.1662718   2  52
  1       46.1667367   5  51
  1       46.1669390   4  50
  1       46.1670655   9  56
  1       46.1674558  10  56
* Gp# 1[8,2,4,5] x =    564.4, y =     -135, q = 0.8543 dT[   123,   736,   799] Src Amplitude = 51.0
*         46.1662035   8  51
*         46.1662718   2  52
*         46.1669390   4  50
*         46.1667367   5  51
  1       46.1678165   6  52
  1       46.1692343   4  52
  1       46.1692440   8  51
  1       46.1702088   5  51
  1       46.1702358   6  51
  1       46.1705015  10  51
  1       46.1708508   9  52
  1       46.1719835  10  50
  1       46.1725913   1  51
  1       50.7036525   8  84
  1       50.7038345   7  68
  1       50.7038432   1  70
  1       50.7040538   2  63
  1       50.7040585   3  57
  1       50.7043307  10  69
  1       50.7043405   6  65
  1       50.7043623   4  64
  1       50.7043915   9  67
  1       50.7044330   5  65
  1       50.7102720   7  51
  1       50.7135760   7  50
  1       50.7150700   2  53
  1       50.7178033   5  51
  1       50.7181618   6  53
  1       50.7183337   4  50
  1       50.7185317   1  52
  1       50.7196978   9  50
* Gp# 1[5,6,4] x =     2043, y =     1215, q = 0.8543 dT[   155,   163] Src Amplitude = 51.0
*         50.7178033   5  51
*         50.7181618   6  53
*         50.7183337   4  50
  1       50.7203085   1  51
  1       50.7215512  10  52
  1       50.7219472   1  50
  1       54.7685258   8  82
  1       54.7687100   7  66
  1       54.7687577   1  68
  1       54.7689278   2  63
  1       54.7689330   3  56
  1       54.7692365   6  63
  1       54.7692367   4  62
  1       54.7692403  10  69
  1       54.7693017   9  64
  1       54.7693127   5  63
  1       54.7741400   7  50
  1       54.7776703   2  52
  1       54.7783325   8  53
  1       54.7801323   4  51
  1       54.7803015   2  51
  1       54.7806553   5  51
  1       54.7819313  10  52
  1       54.7825525   6  51
  1       54.7833763   5  50
  1       54.7836827  10  54
  1       54.7836958   1  51
  1       54.9198917   1  56
  1       54.9200300   8  50
  1       54.9200423   2  51
  1       54.9205378   5  51
  1       54.9207710   6  53
* Gp# 1[1,8,2] x =    91.05, y =    566.5, q = 0.9995 dT[   133,   146] Src Amplitude = 56.0
*         54.9198917   1  56
*         54.9200300   8  50
*         54.9200423   2  51
  1       54.9208188   9  55
  1       54.9210515  10  54
  1       54.9212753   8  50
  1       54.9213315   1  55
  1       54.9216485   2  51
  1       54.9219577   4  50
  1       54.9236983   5  52
* Gp# 1[9,8,1] x =     1225, y =     1916, q = 0.9995 dT[   338,   549] Src Amplitude = 55.0
*         54.9208188   9  55
*         54.9212753   8  50
*         54.9213315   1  55
  1       54.9242367  10  51
  1       54.9254047   9  51
  1       54.9261732   1  52
  1       54.9267323   9  50
  1       78.6966288   1  51
  1       78.7002298   9  50
211      166.3635567		Time Mark
  1      190.0697140   8  80
  1      190.0698562   7  65
  1      190.0699000   1  71
  1      190.0700433   2  62
  1      190.0701480   3  55
  1      190.0703675  10  68
